                       RawText	                   WordsVector	                     Deceptive	             NumberOfSentences	                 NumberOfWords	          NumberOfComplexWords	             NumberOfSyllables	            NumberOfCharacters	             AvarageWordLength	     AutomatedReadabilityIndex	               SMOGReadability	          SMOGReadabilityIndex	              ColemanLiauIndex	               GunningFogIndex	 FleschKincaidReadabilityIndex	        FleschReadabilityIndex
I had a great experience st...	[[I, had, a, great, experie...	                          true	                           3.0	                          61.0	                           7.0	                          87.0	                         266.0	              4.39344262295082	                         9.275	                        11.855	                        11.367	                         8.884	                          12.4	                          9.17	                        65.538
Great location - right on t...	[[Great, location, -, right...	                         false	                           1.0	                          71.0	                          11.0	                         108.0	                         336.0	                        4.3375	                         36.36	                        22.076	                        21.166	                        12.074	                          34.4	                        30.049	                         6.083
I stayed at the intercontin...	[[I, stayed, at, the, inter...	                         false	                           7.0	                         104.0	                          13.0	                         158.0	                         476.0	            4.5636363636363635	                         7.556	                        10.914	                        10.464	                         9.158	                          10.4	                         8.131	                        63.228
Stayed here for two days in...	[[Stayed, here, for, two, d...	                         false	                           6.0	                          99.0	                           7.0	                         135.0	                         422.0	             4.438775510204081	                         6.897	                           9.3	                         8.916	                         8.307	                           9.2	                         6.936	                        74.724
Not one of my better experi...	[[Not, one, of, my, better,...	                          true	                           9.0	                         173.0	                          14.0	                         225.0	                         667.0	            3.9248554913294798	                          6.34	                        10.254	                         9.831	                         5.909	                          10.8	                         7.253	                        77.296
I was genuinely surprised b...	[[I, was, genuinely, surpri...	                          true	                          10.0	                         165.0	                          20.0	                         230.0	                         686.0	             4.288343558282208	                         6.402	                        11.208	                        10.746	                         7.688	                          11.2	                         7.293	                         72.16
DO NOT STAY AT THIS HOTEL!!...	[[DO, NOT, STAY, AT, THIS, ...	                          true	                          15.0	                         271.0	                          27.0	                         375.0	                        1093.0	             4.054945054945055	                           6.6	                        10.794	                        10.348	                         6.956	                          10.8	                         7.784	                        71.431
Our check-in was great, but...	[[Our, check-in, was, great...	                         false	                           7.0	                         168.0	                          14.0	                         228.0	                         701.0	             4.276470588235294	                        10.223	                        11.208	                        10.746	                         7.777	                          12.8	                         9.784	                        67.661
The Hilton in Chicago was a...	[[The, Hilton, in, Chicago,...	                          true	                           8.0	                         103.0	                          14.0	                         155.0	                         431.0	             4.333333333333333	                         4.716	                        10.686	                        10.246	                         6.847	                          10.0	                         7.189	                        66.456
Having booked the hotel dir...	[[Having, booked, the, hote...	                         false	                           6.0	                         117.0	                          12.0	                         170.0	                         496.0	             4.405172413793103	                         8.287	                        11.208	                        10.746	                          8.17	                          11.6	                          9.16	                        64.119
Great place, great room, gr...	[[Great, place, great, room...	                         false	                           6.0	                          63.0	                           8.0	                          92.0	                         305.0	             4.833333333333333	                         6.622	                         9.726	                         9.325	                        10.715	                           8.8	                         5.737	                        72.635
Great hotel in a wonderful ...	[[Great, hotel, in, a, wond...	                         false	                           7.0	                          68.0	                           9.0	                         105.0	                         312.0	             4.878787878787879	                         5.038	                         9.607	                         9.211	                         8.225	                           8.8	                         6.419	                        66.343
Fairmont Hotels are general...	[[Fairmont, Hotels, are, ge...	                         false	                           9.0	                         117.0	                          18.0	                         185.0	                         561.0	             5.034782608695652	                         7.654	                        11.208	                        10.746	                        10.442	                          11.2	                         8.138	                        59.871
I stayed at the Knickerbock...	[[I, stayed, at, the, Knick...	                          true	                          12.0	                         316.0	                          24.0	                         432.0	                        1258.0	             4.063492063492063	                        10.487	                        11.208	                        10.746	                         6.648	                          13.2	                        10.812	                        64.451
It's not a bad hotel. It's ...	[[It's, not, a, bad, hotel....	                         false	                          14.0	                         195.0	                          17.0	                         275.0	                         826.0	              4.73936170212766	                         5.485	                         9.424	                         9.036	                         7.149	                           8.4	                         6.483	                         73.39
I had my wedding ceremony a...	[[I, had, my, wedding, cere...	                         false	                          14.0	                         297.0	                          36.0	                         434.0	                        1275.0	             4.510344827586207	                         9.397	                         12.29	                        11.783	                         8.485	                          13.2	                         9.927	                        61.678
Although much too overprice...	[[Although, much, too, over...	                          true	                           6.0	                          53.0	                           6.0	                          80.0	                         238.0	             4.462962962962963	                         4.137	                         8.842	                         8.477	                         7.649	                           7.6	                         5.666	                        70.171
We have stayed at several h...	[[We, have, stayed, at, sev...	                         false	                           6.0	                         102.0	                          15.0	                         158.0	                         482.0	            4.7745098039215685	                         9.327	                        12.162	                         11.66	                        11.033	                          12.4	                         9.318	                        58.533
I have no idea why this is ...	[[I, have, no, idea, why, t...	                          true	                          12.0	                         172.0	                          16.0	                         238.0	                         715.0	             4.294117647058823	                         5.316	                         9.726	                         9.325	                         6.685	                           9.2	                         6.328	                        75.224
A disappointment to say the...	[[A, disappointment, to, sa...	                         false	                          30.0	                         377.0	                          26.0	                         501.0	                        1512.0	             4.149732620320855	                         3.743	                         8.447	                         8.099	                         5.822	                           7.2	                         4.992	                        81.654
As I walked into the hotel ...	[[As, I, walked, into, the,...	                          true	                           5.0	                          76.0	                           7.0	                         108.0	                         305.0	             4.078947368421052	                         5.072	                         9.889	                         9.481	                         6.837	                           9.6	                         7.106	                        71.186
This review has two parts. ...	[[This, review, has, two, p...	                         false	                          46.0	                         641.0	                          81.0	                         948.0	                        2762.0	             4.428348909657321	                         5.832	                         10.71	                        10.268	                         7.579	                          10.0	                         7.296	                        67.573
The Hyatt Regency Chicago h...	[[The, Hyatt, Regency, Chic...	                          true	                           6.0	                          95.0	                          11.0	                         133.0	                         392.0	              4.24468085106383	                         5.922	                        10.864	                        10.416	                         7.504	                          10.4	                         7.105	                        72.324
The hotel definitely doesn'...	[[The, hotel, definitely, d...	                         false	                          10.0	                         159.0	                          14.0	                         226.0	                         679.0	             4.446540880503145	                         6.634	                         9.889	                         9.481	                         8.353	                           9.2	                         7.383	                        70.447
The atmosphere at the Talbo...	[[The, atmosphere, at, the,...	                          true	                          12.0	                         140.0	                          13.0	                         197.0	                         582.0	             4.258992805755396	                         3.983	                         9.075	                         8.701	                         6.686	                           8.0	                         5.564	                        75.949
As a frequent traveler to C...	[[As, a, frequent, traveler...	                         false	                           9.0	                         174.0	                          23.0	                         259.0	                         745.0	             4.413793103448276	                         8.403	                        12.262	                        11.756	                         8.419	                          12.8	                         9.514	                        61.284
My company booked our group...	[[My, company, booked, our,...	                         false	                           4.0	                          41.0	                           7.0	                          64.0	                         197.0	             4.902439024390244	                         6.326	                        10.686	                        10.246	                        10.501	                          10.8	                         6.827	                        64.373
I visited Chicago with my t...	[[I, visited, Chicago, with...	                         false	                          12.0	                         113.0	                          17.0	                         177.0	                         524.0	             4.734513274336283	                         5.119	                         9.929	                         9.519	                         8.513	                           9.6	                         6.566	                        64.762
I needed to find a last min...	[[I, needed, to, find, a, l...	                          true	                           7.0	                         118.0	                           8.0	                         158.0	                         467.0	             4.016949152542373	                         5.639	                         9.236	                         8.855	                          6.51	                           8.8	                         6.784	                        76.447
The InterContinental Chicag...	[[The, InterContinental, Ch...	                          true	                           7.0	                         158.0	                          37.0	                         280.0	                         812.0	             5.509933774834437	                        14.062	                        16.263	                        15.593	                         13.47	                          18.0	                        14.124	                        34.001
I recently stayed at this h...	[[I, recently, stayed, at, ...	                          true	                          17.0	                         233.0	                          13.0	                         292.0	                         858.0	            3.7844827586206895	                         2.767	                         8.125	                          7.79	                         3.889	                           7.2	                         4.543	                        86.901
My expectations were not hi...	[[My, expectations, were, n...	                         false	                          11.0	                         164.0	                          17.0	                         231.0	                         686.0	             4.055865921787709	                         5.726	                        10.231	                         9.809	                         6.837	                           9.6	                         6.845	                         72.54
I stayed at the Allegro Hot...	[[I, stayed, at, the, Alleg...	                         false	                          16.0	                         277.0	                          33.0	                         398.0	                        1176.0	             4.384892086330935	                         7.222	                        11.333	                        10.866	                         8.206	                          11.2	                         8.116	                        67.708
Not a good start when the f...	[[Not, a, good, start, when...	                         false	                           5.0	                         106.0	                           7.0	                         135.0	                         423.0	             4.085714285714285	                         7.966	                         9.889	                         9.481	                         6.704	                          10.8	                         7.706	                        77.572
My wife and I stayed here f...	[[My, wife, and, I, stayed,...	                          true	                           4.0	                          67.0	                           7.0	                          98.0	                         282.0	             4.171428571428572	                         6.769	                        10.686	                        10.246	                         7.991	                          10.4	                         8.202	                         66.09
After some deliberation I b...	[[After, some, deliberation...	                         false	                          11.0	                         180.0	                          18.0	                         259.0	                         764.0	             4.346368715083799	                         6.743	                        10.437	                        10.006	                           8.2	                          10.4	                         7.771	                        68.496
The historic feel of the ho...	[[The, historic, feel, of, ...	                         false	                          11.0	                         175.0	                          14.0	                         241.0	                         736.0	             4.369318181818182	                         6.333	                         9.574	                         9.179	                         7.972	                           9.2	                         6.865	                        74.181
Great hotel in heart of Chi...	[[Great, hotel, in, heart, ...	                         false	                           6.0	                          63.0	                          12.0	                          97.0	                         315.0	             5.142857142857143	                          7.37	                        11.208	                        10.746	                         11.65	                          11.6	                         6.673	                         65.92
Great front desk staff, the...	[[Great, front, desk, staff...	                         false	                          10.0	                         149.0	                          14.0	                         214.0	                         636.0	             4.412162162162162	                         6.124	                         9.889	                         9.481	                         7.341	                           9.2	                         7.169	                        70.205
This hotel is absolutely be...	[[This, hotel, is, absolute...	                          true	                           5.0	                          47.0	                           8.0	                          74.0	                         201.0	             4.382978723404255	                         3.413	                        10.355	                         9.928	                         6.389	                          10.4	                         6.655	                        64.094
I would NOT recommend stayi...	[[I, would, NOT, recommend,...	                         false	                           9.0	                         135.0	                          18.0	                         191.0	                         571.0	            4.3161764705882355	                         5.992	                        11.208	                        10.746	                         7.113	                          11.2	                         6.955	                        71.917
Stayed here with friends fo...	[[Stayed, here, with, frien...	                         false	                           8.0	                         108.0	                          12.0	                         161.0	                         514.0	             4.851851851851852	                         7.736	                        10.126	                         9.708	                        10.232	                           9.6	                         7.266	                        67.016
An excellent vacation desti...	[[An, excellent, vacation, ...	                          true	                           5.0	                          35.0	                           8.0	                          65.0	                         188.0	             5.514285714285714	                         7.369	                        10.355	                         9.928	                        11.838	                          11.6	                         9.054	                        42.616
When most people think Hilt...	[[When, most, people, think...	                          true	                          15.0	                         153.0	                          16.0	                         217.0	                         644.0	            4.4630872483221475	                         3.495	                         9.029	                         8.657	                         6.992	                           8.0	                         5.124	                        76.494
Elegant and modernized hote...	[[Elegant, and, modernized,...	                          true	                           4.0	                          39.0	                           8.0	                          65.0	                         195.0	             5.102564102564102	                         6.995	                        11.208	                        10.746	                         10.65	                          11.6	                         7.879	                        55.939
I stayed at the Affnia hote...	[[I, stayed, at, the, Affni...	                          true	                           8.0	                         118.0	                          13.0	                         165.0	                         476.0	             4.273504273504273	                         4.945	                        10.411	                         9.982	                          5.96	                          10.0	                         6.663	                        73.567
This hotel is one superior ...	[[This, hotel, is, one, sup...	                          true	                           4.0	                          79.0	                           9.0	                         113.0	                         335.0	              4.30379746835443	                         8.418	                        11.698	                        11.216	                         8.177	                          12.0	                         8.991	                        65.779
I was in Chicago for a conv...	[[I, was, in, Chicago, for,...	                         false	                           7.0	                          99.0	                          14.0	                         148.0	                         428.0	             4.393939393939394	                         6.004	                        11.208	                        10.746	                         7.664	                          11.2	                         7.566	                        66.007
What a wonderful experience...	[[What, a, wonderful, exper...	                         false	                           5.0	                          74.0	                           6.0	                         108.0	                         348.0	             5.112676056338028	                          8.12	                         9.387	                           9.0	                         9.899	                           8.8	                         7.404	                        68.343
When I went to The James ho...	[[When, I, went, to, The, J...	                          true	                          28.0	                         567.0	                          39.0	                         772.0	                        2269.0	            4.0701754385964914	                         7.543	                         9.871	                         9.464	                          6.77	                          10.4	                         8.374	                        71.094
The Sheraton Chicago Hotel ...	[[The, Sheraton, Chicago, H...	                          true	                           7.0	                         126.0	                          17.0	                         187.0	                         535.0	             4.483606557377049	                         7.569	                        12.032	                        11.536	                         8.209	                          12.4	                         8.943	                        63.008
Our stay at the Ambassador ...	[[Our, stay, at, the, Ambas...	                         false	                           8.0	                         122.0	                          18.0	                         189.0	                         566.0	             4.768595041322314	                         8.046	                        11.698	                        11.216	                        10.526	                          11.6	                         8.638	                        60.296
A very nice hotel with smal...	[[A, very, nice, hotel, wit...	                         false	                           7.0	                         115.0	                          12.0	                         165.0	                         488.0	                        4.5625	                         6.771	                        10.609	                        10.171	                         8.194	                          10.4	                         7.748	                        68.777
Negative points: 1. I guess...	[[Negative, points:, 1.], [...	                         false	                          12.0	                          64.0	                           6.0	                          82.0	                         259.0	             4.147058823529412	                         0.297	                         7.169	                         6.873	                         3.036	                           5.6	                         1.609	                        93.028
My sister and I stayed on t...	[[My, sister, and, I, staye...	                         false	                           9.0	                         176.0	                          11.0	                         228.0	                         700.0	             4.033707865168539	                         7.081	                         9.445	                         9.055	                         6.626	                          10.0	                         7.323	                        77.391
Our room was on the third f...	[[Our, room, was, on, the, ...	                         false	                           5.0	                          79.0	                          11.0	                         116.0	                         362.0	                           4.5	                         8.053	                        11.602	                        11.124	                         10.19	                          11.2	                         7.899	                        66.575
I wouldn't know how to begi...	[[I, would, not, know, how,...	                          true	                           7.0	                         117.0	                          11.0	                         164.0	                         490.0	             4.247863247863248	                         6.653	                         10.29	                         9.866	                         7.868	                          10.0	                         7.469	                        71.285
We stayed at the Hard Rock ...	[[We, stayed, at, the, Hard...	                         false	                          12.0	                         120.0	                          12.0	                         172.0	                         528.0	             4.593220338983051	                         4.294	                         8.842	                         8.477	                         7.116	                           8.0	                         5.223	                        75.425
Review's a little late, but...	[[Review's, a, little, late...	                         false	                           7.0	                          94.0	                          12.0	                         135.0	                         392.0	             4.268041237113402	                         4.926	                        10.609	                        10.171	                         6.763	                          10.0	                         6.594	                        71.705
I was attending a conferenc...	[[I, was, attending, a, con...	                         false	                          18.0	                         210.0	                          14.0	                         274.0	                         842.0	            4.1826923076923075	                         3.288	                         8.167	                          7.83	                         5.816	                           6.8	                         4.356	                         84.61
I went to stay in the Mille...	[[I, went, to, stay, in, th...	                          true	                          21.0	                         348.0	                          23.0	                         454.0	                        1334.0	            3.9572649572649574	                         4.911	                         9.108	                         8.732	                         5.778	                           8.8	                         6.267	                        79.646
Ambassador East is an aweso...	[[Ambassador, East, is, an,...	                         false	                           9.0	                          87.0	                          14.0	                         127.0	                         385.0	             4.517241379310345	                         4.246	                        10.254	                         9.831	                         7.265	                          10.0	                         5.405	                        73.527
The Palmer House Hilton hot...	[[The, Palmer, House, Hilto...	                          true	                           7.0	                         108.0	                          14.0	                         159.0	                         473.0	             4.566037735849057	                         6.912	                        11.208	                        10.746	                         8.996	                          10.8	                         7.799	                        66.625
This was a weekend trip for...	[[This, was, a, weekend, tr...	                         false	                          16.0	                         252.0	                          33.0	                         365.0	                        1080.0	             4.398406374501992	                         6.631	                        11.333	                        10.866	                         8.443	                          11.2	                         7.644	                        68.313
The Amalfi Hotel advertises...	[[The, Amalfi, Hotel, adver...	                          true	                           7.0	                         153.0	                          20.0	                         228.0	                         668.0	            4.4605263157894735	                        10.062	                        12.785	                        12.258	                         8.916	                          13.6	                        10.519	                        58.579
What I hoped would be a ple...	[[What, I, hoped, would, be...	                          true	                           7.0	                         112.0	                          12.0	                         162.0	                         497.0	             4.495575221238938	                         7.471	                        10.609	                        10.171	                         9.337	                          10.4	                         7.718	                        68.227
There were many positives w...	[[There, were, many, positi...	                          true	                           7.0	                         125.0	                          18.0	                         190.0	                         564.0	             4.620967741935484	                          8.75	                         12.29	                        11.783	                         9.776	                          12.4	                          9.31	                        60.118
During my recent stay at th...	[[During, my, recent, stay,...	                          true	                           9.0	                         170.0	                          21.0	                         254.0	                         767.0	             4.704819277108434	                         9.265	                        11.855	                        11.367	                         9.774	                          12.0	                         9.407	                         61.26
This was the 2nd time that ...	[[This, was, the, 2nd, time...	                         false	                          37.0	                         488.0	                          30.0	                         640.0	                        1967.0	             4.146534653465347	                         4.149	                         8.273	                         7.932	                         5.941	                           7.6	                         5.029	                        82.497
We went to Chicago for my 2...	[[We, went, to, Chicago, fo...	                         false	                          16.0	                         267.0	                          16.0	                         351.0	                        1093.0	             4.154981549815498	                         6.195	                         8.842	                         8.477	                         7.311	                           8.4	                          6.43	                        78.681
Overall, the hotel was okay...	[[Overall, the, hotel, was,...	                          true	                           7.0	                         111.0	                          12.0	                         161.0	                         469.0	             4.345454545454546	                         6.399	                        10.609	                        10.171	                         8.087	                          10.0	                          7.71	                        68.032
We stayed at the swissotel ...	[[We, stayed, at, the, swis...	                         false	                           7.0	                          69.0	                           6.0	                          95.0	                         289.0	             4.319444444444445	                         3.226	                         8.418	                         8.071	                          5.87	                           6.8	                         4.501	                        80.352
I was surprised by the fact...	[[I, was, surprised, by, th...	                         false	                           7.0	                         130.0	                           4.0	                         159.0	                         477.0	             3.753846153846154	                         5.138	                         7.448	                          7.14	                         4.812	                           8.4	                         6.085	                        84.513
Luxury and comfort combine ...	[[Luxury, and, comfort, com...	                          true	                           5.0	                          97.0	                          13.0	                         146.0	                         420.0	             4.536842105263158	                         8.664	                        12.341	                        11.832	                         8.703	                          12.8	                         9.737	                        59.808
I can only confirm the posi...	[[I, can, only, confirm, th...	                         false	                           6.0	                          59.0	                           3.0	                          78.0	                         236.0	             4.193548387096774	                         2.327	                         7.169	                         6.873	                          4.76	                           5.6	                         3.845	                         85.01
We became an Ambassador mem...	[[We, became, an, Ambassado...	                         false	                           5.0	                          93.0	                          16.0	                         156.0	                         444.0	             5.087912087912088	                        10.356	                        13.348	                        12.798	                         11.32	                          14.0	                        11.458	                        46.046
We recently stayed at the F...	[[We, recently, stayed, at,...	                          true	                          12.0	                         198.0	                          29.0	                         304.0	                         903.0	            4.6938775510204085	                           8.3	                         12.01	                        11.515	                        10.062	                          12.0	                         8.962	                        60.197
My stay at the Homewood Sui...	[[My, stay, at, the, Homewo...	                          true	                           7.0	                          94.0	                          12.0	                         146.0	                         441.0	             4.787234042553192	                         7.381	                        10.609	                        10.171	                         9.833	                          10.0	                         7.975	                        61.805
I believe I can not describ...	[[I, believe, I, can, not, ...	                         false	                           6.0	                          85.0	                           6.0	                         112.0	                         328.0	             4.119047619047619	                         3.828	                         8.842	                         8.477	                         4.928	                           8.4	                         5.483	                        80.983
Nestled just off the beaten...	[[Nestled, just, off, the, ...	                         false	                           6.0	                         111.0	                          13.0	                         168.0	                         515.0	             4.711711711711712	                         9.673	                        11.538	                        11.062	                        10.527	                          11.6	                         9.484	                        60.014
We stayed at Amalfi for 2 n...	[[We, stayed, at, Amalfi, f...	                         false	                          16.0	                         273.0	                          18.0	                         355.0	                        1095.0	             4.144444444444445	                         5.993	                         9.188	                         8.809	                         6.825	                           9.2	                         6.409	                        79.506
I recently visited Chicago....	[[I, recently, visited, Chi...	                          true	                          13.0	                         203.0	                          14.0	                         261.0	                         757.0	             3.812807881773399	                         3.942	                         9.057	                         8.684	                         5.164	                           8.4	                         5.671	                        82.214
Stayed over Memorial Weeken...	[[Stayed, over, Memorial, W...	                         false	                           6.0	                          85.0	                           8.0	                         122.0	                         398.0	             4.655172413793103	                         7.707	                         9.726	                         9.325	                         9.779	                           9.2	                         6.871	                         71.03
What a fabulous hotel! From...	[[What, a, fabulous, hotel]...	                         false	                           5.0	                          78.0	                          12.0	                         119.0	                         358.0	             4.628205128205129	                         7.988	                        11.979	                        11.485	                        10.234	                          12.0	                         8.497	                        61.932
Not worth the price! I had ...	[[Not, worth, the, price], ...	                          true	                          26.0	                         377.0	                          33.0	                         529.0	                        1566.0	            4.3324396782841825	                         5.385	                         9.565	                         9.171	                         6.666	                           8.8	                         6.623	                        73.408
I really loved my stay at t...	[[I, really, loved, my, sta...	                          true	                           9.0	                         148.0	                           8.0	                         199.0	                         577.0	             4.123287671232877	                         5.155	                         8.515	                         8.164	                         6.163	                           8.4	                          6.69	                        76.391
The Swissotel is totally un...	[[The, Swissotel, is, total...	                         false	                           8.0	                         153.0	                          16.0	                         211.0	                         615.0	             4.261744966442953	                         7.065	                        11.208	                        10.746	                         6.875	                          11.6	                         8.142	                        70.753
I recently had the misfortu...	[[I, recently, had, the, mi...	                          true	                           9.0	                         239.0	                          21.0	                         321.0	                         959.0	             4.024793388429752	                        10.747	                        11.855	                        11.367	                         6.834	                          13.6	                        10.615	                        66.255
The name Conrad (the most l...	[[The, name, Conrad, (the, ...	                          true	                          25.0	                         371.0	                          46.0	                         548.0	                        1628.0	             4.485175202156334	                         6.658	                        10.878	                         10.43	                         8.046	                          10.4	                         7.627	                        66.811
We recently completed our f...	[[We, recently, completed, ...	                          true	                           3.0	                          74.0	                          17.0	                         126.0	                         371.0	             5.222222222222222	                        14.517	                        16.728	                        16.038	                         12.73	                          18.4	                        14.122	                         37.75
The InterContinental Chicag...	[[The, InterContinental, Ch...	                          true	                           7.0	                          71.0	                          14.0	                         118.0	                         332.0	             4.722222222222222	                         5.666	                        11.208	                        10.746	                         9.742	                          11.6	                         7.977	                        55.937
